path_to_object,start_date,end_date_time,duration,PM_name,index,value
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",1, Subrack No.=0
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",2, Slot No.=7
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",3, Subboard Type=BASE_BOARD
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",4, Bearing Type=IP
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",5, Bearing Port No.=1
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",6, Bearing Port Type=ETH
S01MTGDN01/RSCGRP,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Cabinet No.=0, Subrack No.=0, Slot No.=7, Subboard Type=BASE_BOARD, Bearing Type=IP, Bearing Port No.=1, Bearing Port Type=ETH, Resource Group ID=AUTOPORT",7, Resource Group ID=AUTOPORT
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",,
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,PT3600S
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,2023-06-21T00:00:00-04:00
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,S01MTGDN01/IPv6:Board Type=MPT
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",1, Cabinet No.=0
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",2, Subrack No.=0
S01MTGDN01/IPv6,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",3, Slot No.=7
S01MTGDN01/OMCH,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Standby Status=MASTER, Bearer Type=IPV4",,
S01MTGDN01/OMCH,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Standby Status=MASTER, Bearer Type=IPV4",0,PT3600S
S01MTGDN01/OMCH,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Standby Status=MASTER, Bearer Type=IPV4",0,2023-06-21T00:00:00-04:00
S01MTGDN01/OMCH,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Standby Status=MASTER, Bearer Type=IPV4",0,S01MTGDN01/OMCH:Standby Status=MASTER
S01MTGDN01/OMCH,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Standby Status=MASTER, Bearer Type=IPV4",1, Bearer Type=IPV4
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",,
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,PT3600S
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,2023-06-21T00:00:00-04:00
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",0,S01MTGDN01/IKE:Board Type=MPT
S01MTGDN01/IKE,2023-06-20T23:00:00-04:00,2023-06-21T00:00:00-04:00,3600,"Board Type=MPT, Cabinet No.=0, Subrack No.=0, Slot No.=7",1, Cabinet No.=0
